site;variable;value;Year;Month;Type;var
1030;precip.rrday_20160518;0;2016;5;prec;prec05
1032;precip.rrday_20160518;0;2016;5;prec;prec05
1076;precip.rrday_20160518;0;2016;5;prec;prec05
1206;precip.rrday_20160518;0;2016;5;prec;prec05
1367;precip.rrday_20160518;0;2016;5;prec;prec05
2813;precip.rrday_20160518;0;2016;5;prec;prec05
3222;precip.rrday_20160518;0;2016;5;prec;prec05
3225;precip.rrday_20160518;0;2016;5;prec;prec05
3379;precip.rrday_20160518;0;2016;5;prec;prec05
4193;precip.rrday_20160518;0;2016;5;prec;prec05
8560;precip.rrday_20160518;0;2016;5;prec;prec05
9150;precip.rrday_20160518;0;2016;5;prec;prec05
9646;precip.rrday_20160518;0;2016;5;prec;prec05
187;precip.rrday_20160519;0;2016;5;prec;prec05
617;precip.rrday_20160519;0;2016;5;prec;prec05
657;precip.rrday_20160519;0;2016;5;prec;prec05
853;precip.rrday_20160519;0;2016;5;prec;prec05
861;precip.rrday_20160519;0;2016;5;prec;prec05
946;precip.rrday_20160519;0;2016;5;prec;prec05
950;precip.rrday_20160519;0;2016;5;prec;prec05
1030;precip.rrday_20160519;0;2016;5;prec;prec05
1032;precip.rrday_20160519;0;2016;5;prec;prec05
1076;precip.rrday_20160519;0;2016;5;prec;prec05
1206;precip.rrday_20160519;0;2016;5;prec;prec05
1367;precip.rrday_20160519;0;2016;5;prec;prec05
2813;precip.rrday_20160519;0;2016;5;prec;prec05
3222;precip.rrday_20160519;0;2016;5;prec;prec05
3225;precip.rrday_20160519;0;2016;5;prec;prec05
3379;precip.rrday_20160519;0;2016;5;prec;prec05
4193;precip.rrday_20160519;0;2016;5;prec;prec05
8560;precip.rrday_20160519;0;2016;5;prec;prec05
9150;precip.rrday_20160519;0;2016;5;prec;prec05
9646;precip.rrday_20160519;0;2016;5;prec;prec05
187;precip.rrday_20160520;0.0526325139922084;2016;5;prec;prec05
617;precip.rrday_20160520;0.172369927108837;2016;5;prec;prec05
657;precip.rrday_20160520;0.0770639620629543;2016;5;prec;prec05
853;precip.rrday_20160520;0.0471715176087029;2016;5;prec;prec05
861;precip.rrday_20160520;0.0653371081319353;2016;5;prec;prec05
946;precip.rrday_20160520;0.0188719887962474;2016;5;prec;prec05
950;precip.rrday_20160520;0.0526325139922084;2016;5;prec;prec05
1030;precip.rrday_20160520;0.0826052746629421;2016;5;prec;prec05
1032;precip.rrday_20160520;0.0826052746629421;2016;5;prec;prec05
1076;precip.rrday_20160520;0.0770639620629543;2016;5;prec;prec05
1206;precip.rrday_20160520;0.00907956847195667;2016;5;prec;prec05
1367;precip.rrday_20160520;0.0653371081319353;2016;5;prec;prec05
2813;precip.rrday_20160520;0;2016;5;prec;prec05
3222;precip.rrday_20160520;0.0838556085785672;2016;5;prec;prec05
3225;precip.rrday_20160520;0.0838556085785672;2016;5;prec;prec05
3379;precip.rrday_20160520;0.244192232204679;2016;5;prec;prec05
4193;precip.rrday_20160520;0.172369927108837;2016;5;prec;prec05
8560;precip.rrday_20160520;0.00907956847195667;2016;5;prec;prec05
9150;precip.rrday_20160520;0.10428361445252;2016;5;prec;prec05
9646;precip.rrday_20160520;0.0653371081319353;2016;5;prec;prec05
187;precip.rrday_20160521;0;2016;5;prec;prec05
617;precip.rrday_20160521;0;2016;5;prec;prec05
657;precip.rrday_20160521;0;2016;5;prec;prec05
853;precip.rrday_20160521;0;2016;5;prec;prec05
861;precip.rrday_20160521;0;2016;5;prec;prec05
946;precip.rrday_20160521;0;2016;5;prec;prec05
950;precip.rrday_20160521;0;2016;5;prec;prec05
1030;precip.rrday_20160521;0;2016;5;prec;prec05
1032;precip.rrday_20160521;0;2016;5;prec;prec05
1076;precip.rrday_20160521;0;2016;5;prec;prec05
1206;precip.rrday_20160521;0;2016;5;prec;prec05
1367;precip.rrday_20160521;0;2016;5;prec;prec05
2813;precip.rrday_20160521;0;2016;5;prec;prec05
3222;precip.rrday_20160521;0;2016;5;prec;prec05
3225;precip.rrday_20160521;0;2016;5;prec;prec05
3379;precip.rrday_20160521;0;2016;5;prec;prec05
4193;precip.rrday_20160521;0;2016;5;prec;prec05
8560;precip.rrday_20160521;0;2016;5;prec;prec05
9150;precip.rrday_20160521;0;2016;5;prec;prec05
9646;precip.rrday_20160521;0;2016;5;prec;prec05
187;precip.rrday_20160522;0;2016;5;prec;prec05
617;precip.rrday_20160522;0.132883666374944;2016;5;prec;prec05
657;precip.rrday_20160522;0;2016;5;prec;prec05
853;precip.rrday_20160522;0;2016;5;prec;prec05
861;precip.rrday_20160522;0;2016;5;prec;prec05
946;precip.rrday_20160522;0;2016;5;prec;prec05
950;precip.rrday_20160522;0;2016;5;prec;prec05
1030;precip.rrday_20160522;0;2016;5;prec;prec05
1032;precip.rrday_20160522;0;2016;5;prec;prec05
1076;precip.rrday_20160522;0;2016;5;prec;prec05
1206;precip.rrday_20160522;0;2016;5;prec;prec05
1367;precip.rrday_20160522;0;2016;5;prec;prec05
2813;precip.rrday_20160522;0;2016;5;prec;prec05
3222;precip.rrday_20160522;0;2016;5;prec;prec05
3225;precip.rrday_20160522;0;2016;5;prec;prec05
3379;precip.rrday_20160522;0;2016;5;prec;prec05
4193;precip.rrday_20160522;0.132883666374944;2016;5;prec;prec05
8560;precip.rrday_20160522;0;2016;5;prec;prec05
9150;precip.rrday_20160522;0;2016;5;prec;prec05
9646;precip.rrday_20160522;0;2016;5;prec;prec05
187;precip.rrday_20160523;0;2016;5;prec;prec05
617;precip.rrday_20160523;0;2016;5;prec;prec05
657;precip.rrday_20160523;0;2016;5;prec;prec05
853;precip.rrday_20160523;0;2016;5;prec;prec05
861;precip.rrday_20160523;0;2016;5;prec;prec05
946;precip.rrday_20160523;0;2016;5;prec;prec05
950;precip.rrday_20160523;0;2016;5;prec;prec05
1030;precip.rrday_20160523;0;2016;5;prec;prec05
1032;precip.rrday_20160523;0;2016;5;prec;prec05
1076;precip.rrday_20160523;0;2016;5;prec;prec05
1206;precip.rrday_20160523;0;2016;5;prec;prec05
1367;precip.rrday_20160523;0;2016;5;prec;prec05
2813;precip.rrday_20160523;0;2016;5;prec;prec05
3222;precip.rrday_20160523;0;2016;5;prec;prec05
3225;precip.rrday_20160523;0;2016;5;prec;prec05
3379;precip.rrday_20160523;0;2016;5;prec;prec05
4193;precip.rrday_20160523;0;2016;5;prec;prec05
8560;precip.rrday_20160523;0;2016;5;prec;prec05
9150;precip.rrday_20160523;0;2016;5;prec;prec05
9646;precip.rrday_20160523;0;2016;5;prec;prec05
187;precip.rrday_20160524;0;2016;5;prec;prec05
617;precip.rrday_20160524;0;2016;5;prec;prec05
657;precip.rrday_20160524;0;2016;5;prec;prec05
853;precip.rrday_20160524;0;2016;5;prec;prec05
