Patch;Square;Plant;PlantFinnish;Monocot;Dicot;Coverage;Herbivory %;Virotic
853;3;Hylotelephium telephium;isomaksaruoho;0;1;0,5;0;0
853;3;Pilosella cymosa;viuhkokeltano;0;1;1;100;100
853;3;Rumex acetosella;ahosuolaheinä;0;1;0,3;0;0
853;3;Agrostis sp;rölli sp;1;0;2;0;0
853;3;bryophytes;sammalet;0;0;20;0;0
853;3;lichens;jäkälät;0;0;80;0;0
8560;1;Geranium sanguineum;verikurjenpolvi;0;1;20;0;0
8560;1;Avenula pubescens;mäkikaura;1;0;1,5;0;0
8560;1;Filipendula vulgaris;sikoangervo;0;1;10;100;100
8560;1;Plantago lanceolata;heinäratamo;0;1;1,5;100;50
8560;1;Hylotelephium telephium;isomaksaruoho;0;1;0,5;30;0
8560;1;Galium verum;keltamatara;0;1;1,5;0;0
8560;1;Ranunculus bulbosus;mäkileinikki;0;1;1;0;0
8560;1;Pilosella officinarum;huopakeltano;0;1;1;50;0
8560;1;Fragaria vesca;ahomansikka;0;1;0,2;0;0
8560;1;Achillea millefolium;siankärsämö;0;1;1;0;0
8560;1;Alopecurus pratensis ;nurmipuntarpää;1;0;0,5;0;0
8560;1;Veronica chamaedrys;nurmitädyke;0;1;0,2;0;0
8560;1;Rumex acetosa;niittysuolaheinä;0;1;0,2;100;0
8560;1;Trifolium medium;metsäapila;0;1;2;60;0
8560;1;Festuca ovina;lampaannata;1;0;4;0;0
8560;1;bryophytes;sammalet;0;0;4;0;0
8560;1;lichens;jäkälät;0;0;0;0;0
8560;2;Plantago lanceolata;heinäratamo;0;1;6;50;0
8560;2;Hypericum maculatum;särmäkuisma;0;1;1,5;60;0
8560;2;Rumex acetosa;niittysuolaheinä;0;1;4;100;0
8560;2;Geranium sanguineum;verikurjenpolvi;0;1;1;0;0
8560;2;Galium verum;keltamatara;0;1;1,5;0;0
8560;2;Trifolium pratense;puna-apila;0;1;20;100;50
8560;2;Anthiriscus sylvestris;koiranputki;0;1;1;0;0
8560;2;Achillea millefolium;siankärsämö;0;1;1,5;0;0
8560;2;Potentilla reptans;suikerohanhikki;0;1;1,5;0;0
8560;2;Dactylis glomerata;koiranheinä;1;0;3;0;0
8560;2;Avenula pubescens;mäkikaura;1;0;1,5;0;0
8560;2;Potentilla argentea;hopeahanhikki;0;1;1,5;0;0
8560;2;Taraxacum sp;voikukka sp;0;1;0,2;0;0
8560;2;Agrostis sp;rölli sp;1;0;10;0;0
8560;2;Festuca rubra;punanata;1;0;0,5;0;0
8560;2;Stellaria graminea;heinätähtimö;0;1;0,5;0;0
8560;2;bryophytes;sammalet;0;0;0;0;0
8560;2;lichens;jäkälät;0;0;0;0;0
8560;3;Avenula pubescens;mäkikaura;1;0;3;0;0
8560;3;Hylotelephium telephium;isomaksaruoho;0;1;2;100;0
8560;3;Sedum album;valkomaksaruoho;0;1;3;0;0
8560;3;Dactylis glomerata;koiranheinä;1;0;4;0;0
8560;3;Galium verum;keltamatara;0;1;1;0;0
8560;3;Plantago lanceolata;heinäratamo;0;1;0,5;100;0
8560;3;Potentilla argentea;hopeahanhikki;0;1;0,5;0;0
8560;3;Rumex acetosa;niittysuolaheinä;0;1;0,2;100;0
8560;3;Festuca rubra;punanata;1;0;1;0;0
8560;3;Arabidopsis thaliana;lituruoho;0;1;0,5;0;0
8560;3;bryophytes;sammalet;0;0;40;0;0
8560;3;lichens;jäkälät;0;0;0;0;0
946;1;Plantago lanceolata;heinäratamo;0;1;8;75;0
946;1;Anthoxanthum odoratum;eteläntuoksusimake;1;0;2;0;0
946;1;Viola riviana;metsäorvokki;0;1;11;90;0
946;1;Veronica chamaedrys;nurmitädyke;0;1;1;0;0
946;1;Galium boreale;ahomatara;0;1;6;0;0
946;1;Rumex acetosa;niittysuolaheinä;0;1;1;100;0
946;1;Achillea millefolium;siankärsämö;0;1;2;0;0
946;1;Agrostis sp;rölli sp;1;0;2;0;0
946;1;Trifolium pratense;puna-apila;0;1;0,5;100;0
946;1;Galium verum;keltamatara;0;1;4;30;0
946;1;Ranunculus acris;niittyleinikki;0;1;0,5;0;0
946;1;Pilosella officinarum;huopakeltano;0;1;1;0;0
946;1;Rosa canina;koiranruusu;0;1;0,5;0;0
946;1;Festuca ovina;lampaannata;1;0;2,5;0;0
946;1;Ranunculus bulbosus;mäkileinikki;0;1;0,5;0;0
946;1;Luzula multifolia;nurmipiippo;1;0;0,5;0;0
946;1;Hieracium tridentata;tankikeltano;0;1;1;100;100
946;1;bryophytes;sammalet;0;0;90;0;0
946;1;lichens;jäkälät;0;0;0;0;0
946;2;Festuca pratensis;nurminata;1;0;0,5;0;0
946;2;Fragaria vesca;ahomansikka;0;1;20;0;0
946;2;Avenula pubescens;mäkikaura;1;0;1;0;0
946;2;Rumex acetosa;niittysuolaheinä;0;1;1;0;100
