Patch;Square;Date;Vegetation description on patch;Vegetation type on patch;Vegetation type around patch;location1;location2
1367;3;28.6.2017;kuiva kallioketo;;kuiva kangasmetsä;109900.843548782;6680538.84485467
9646;1;26.6.2017;kuiva kallioketo tien vieressä;;pelto, piha, kostea painanne pellolla;111715.06740674;6685177.76604849
9646;2;26.6.2017;kuiva kallioketo tien vieressä;;pelto, piha, kostea painanne pellolla;111712.322169631;6685180.04897722
1030;1;27.6.2017;ihmisvaikutteinen kallioinen merenranta, leirintäalueen pihaa ja tienvartta;;tuore kangasmetsä, merenranta;95208.4319572767;6695642.01753867
1030;2;27.6.2017;ihmisvaikutteinen kallioinen merenranta, leirintäalueen pihaa ja tienvartta;;tuore kangasmetsä, merenranta;95211.661913141;6695665.63941624
1030;3;27.6.2017;ihmisvaikutteinen kallioinen merenranta, leirintäalueen pihaa ja tienvartta;;tuore kangasmetsä, merenranta;95268.1461985843;6695648.82498186
1030;4;27.6.2017;ihmisvaikutteinen kallioinen merenranta, leirintäalueen pihaa ja tienvartta;;tuore kangasmetsä, merenranta;95245.1353295122;6695652.58252071
1030;5;27.6.2017;ihmisvaikutteinen kallioinen merenranta, leirintäalueen pihaa ja tienvartta;;tuore kangasmetsä, merenranta;95237.03194842;6695661.66500839
1030;6;27.6.2017;ihmisvaikutteinen kallioinen merenranta, leirintäalueen pihaa ja tienvartta;;tuore kangasmetsä, merenranta;95247.6421891234;6695678.79904994
1076;1;27.6.2017;savinen niitty, tienvarsi, kivikko;;pelto, piha;104163.291401551;6699361.09002553
1076;2;27.6.2017;savinen niitty, tienvarsi, kivikko;;pelto, piha;104187.0146656;6699375.86550258
1076;3;27.6.2017;savinen niitty, tienvarsi, kivikko;;pelto, piha;104205.144543173;6699382.61541795
1076;4;27.6.2017;savinen niitty, tienvarsi, kivikko;;pelto, piha;104199.578252205;6699383.91643925
1076;5;27.6.2017;savinen niitty, tienvarsi, kivikko;;pelto, piha;104187.78063981;6699410.40308237
2813;1;0,985844907;kuiva sekä kostea tienvarsi;;tuore kangasmetsä;123958.054531935;6679808.65776788
2813;2;0,985844907;kuiva sekä kostea tienvarsi;;tuore kangasmetsä;124134.090798065;6680040.99430125
2813;3;0,985844907;kuiva sekä kostea tienvarsi;;tuore kangasmetsä;124071.510405488;6679980.65730978
2813;4;0,985844907;kuiva sekä kostea tienvarsi;;tuore kangasmetsä;124032.523189514;6679921.06059686
1206;1;0,985844907;kallioketo, rehevä sekä kuiva tienvarsi;;tuore kangasmetsä sekä kuiva kangasmetsä;117122.892930745;6673968.97029268
1206;2;0,985844907;kallioketo, rehevä sekä kuiva tienvarsi;;tuore kangasmetsä sekä kuiva kangasmetsä;117118.945747433;6673966.83460284
1206;3;0,985844907;kallioketo, rehevä sekä kuiva tienvarsi;;tuore kangasmetsä sekä kuiva kangasmetsä;117114.467301178;6673949.304286
1206;4;0,985844907;kallioketo, rehevä sekä kuiva tienvarsi;;tuore kangasmetsä sekä kuiva kangasmetsä;117153.971461943;6673933.13872757
1032;1;0,860844907;tienvarsi, ruoho leikattu;;piha;97735.8718471571;6696105.42158215
1032;2;0,860844907;tienvarsi, ruoho leikattu;;piha;97746.0517914257;6696097.83242673
